tipo,potencia_watts,altura_metros,estado,sensores_luminosidad_lux,sensores_movimiento,sensores_temperatura_c,sensores_humedad_pct,eficiencia_lumens_por_watt,eficiencia_vida_util_restante_pct,registro_fecha_instalacion
Halógena,150,6.56,Fallando,101,True,23.6,59.4,100.87,82.9,2024-11-18
Incandescente,75,6.89,Encendida,125,False,34.8,50.0,96.66,50.9,2024-01-20
Halógena,150,7.47,Encendida,156,True,25.3,64.2,115.65,53.3,2025-04-16
Halógena,75,8.47,Apagada,179,False,27.8,52.8,113.91,38.0,2025-03-20
Halógena,100,8.84,Apagada,248,False,29.6,40.6,118.38,77.7,2024-11-29
Led,75,7.3,Apagada,154,False,21.0,60.9,121.38,36.6,2023-09-13
Led,150,9.12,Encendida,69,True,32.6,77.0,117.21,88.3,2024-11-18
Halógena,150,9.35,Encendida,76,True,21.1,52.2,92.08,60.4,2024-03-03
Halógena,75,9.77,Encendida,281,False,27.8,50.1,99.9,65.6,2024-07-31
Led,50,7.85,Apagada,99,True,21.9,77.9,99.84,73.9,2024-05-31
Halógena,100,9.66,Apagada,165,True,26.7,62.9,114.99,74.6,2024-11-23
Led,100,7.68,Apagada,289,False,34.4,67.0,104.44,30.4,2025-04-20
Led,150,6.82,Apagada,63,False,20.7,62.9,110.83,63.5,2024-08-07
Led,50,7.26,Apagada,273,True,27.1,56.8,124.59,66.2,2024-08-07
Led,75,7.46,Encendida,264,True,28.9,76.5,114.41,55.6,2023-10-29
Halógena,150,7.68,Encendida,253,False,29.0,75.5,111.28,87.0,2024-05-15
Led,50,8.45,Encendida,272,True,33.3,70.7,113.28,79.8,2024-12-06
Led,50,9.88,Apagada,211,True,21.8,65.1,102.96,66.7,2024-06-10
Led,50,9.16,Encendida,217,False,21.3,79.7,114.29,83.6,2023-10-10
Incandescente,75,7.94,Encendida,233,True,34.5,41.5,125.43,42.3,2024-11-11
Led,100,7.64,Encendida,206,False,21.9,73.5,113.51,86.8,2024-01-25
Halógena,100,9.11,Encendida,215,False,23.9,67.1,98.0,42.7,2024-04-08
Halógena,50,8.41,Fallando,180,True,26.9,60.0,113.45,34.4,2024-08-23
Incandescente,50,6.53,Encendida,270,True,20.3,49.6,107.29,71.6,2025-06-09
Halógena,50,6.81,Apagada,91,True,32.8,66.6,92.65,55.5,2024-03-09
Led,100,6.89,Encendida,141,False,20.3,48.8,111.8,42.1,2025-02-11
Halógena,150,7.52,Apagada,184,True,23.6,62.7,118.31,71.8,2025-01-14
Halógena,150,7.23,Encendida,196,True,26.2,56.1,128.67,81.5,2024-04-12
Led,75,9.35,Fallando,239,True,25.9,47.0,101.09,40.3,2023-09-14
Led,150,7.55,Apagada,272,True,31.6,67.3,106.23,60.5,2024-08-09
Halógena,100,8.19,Apagada,165,True,26.3,41.8,116.74,47.0,2024-05-12
Led,75,8.31,Apagada,169,False,21.4,56.6,90.31,42.1,2025-01-02
Halógena,150,8.32,Apagada,171,False,24.8,72.6,100.69,60.8,2023-07-13
Incandescente,50,9.59,Fallando,143,True,28.1,56.4,105.84,51.2,2025-03-12
Halógena,50,7.3,Apagada,81,True,26.0,63.4,114.33,31.6,2024-09-18
Incandescente,75,7.35,Encendida,62,False,22.8,43.5,92.32,41.6,2023-08-03
Halógena,100,8.84,Apagada,103,False,29.4,46.2,117.17,87.9,2024-05-24
Incandescente,100,6.64,Encendida,103,False,22.6,62.6,125.32,81.0,2024-09-06
Halógena,75,6.12,Apagada,240,False,30.3,45.3,114.76,45.6,2025-05-09
Halógena,75,6.11,Apagada,259,True,26.2,78.9,129.75,45.1,2025-02-11
Led,75,9.66,Encendida,125,True,25.3,65.2,129.26,87.3,2024-05-14
Incandescente,50,9.12,Encendida,124,True,34.5,68.3,101.82,44.4,2024-01-29
Led,75,9.67,Apagada,114,True,31.3,60.0,113.82,51.2,2024-02-23
Incandescente,100,7.01,Encendida,183,False,22.8,46.8,115.43,33.3,2024-08-13
Halógena,100,8.48,Fallando,189,False,26.1,66.3,98.13,39.6,2024-11-02
Halógena,150,6.97,Apagada,186,False,22.6,72.3,129.72,58.1,2024-06-12
Incandescente,100,6.62,Apagada,95,True,33.1,65.5,104.61,58.7,2024-06-13
Halógena,100,7.81,Apagada,240,False,34.4,40.6,112.1,38.7,2025-04-12
Led,150,9.63,Apagada,174,False,24.1,67.9,90.86,31.6,2023-06-29
Halógena,150,7.73,Fallando,52,True,32.0,68.2,112.19,74.1,2023-08-12
Halógena,75,7.66,Encendida,195,True,25.8,61.9,91.4,71.9,2024-05-15
Led,50,7.78,Encendida,141,True,33.0,65.5,109.4,81.8,2024-06-10
Halógena,50,9.74,Apagada,183,False,22.9,75.6,90.1,75.7,2024-04-21
Halógena,100,9.25,Apagada,109,False,33.2,48.1,95.45,74.4,2025-06-06
Halógena,50,8.0,Apagada,190,False,28.0,61.4,104.42,86.9,2023-09-15
Led,50,8.64,Apagada,164,True,32.8,64.0,114.31,87.8,2024-11-02
Led,50,9.22,Encendida,94,True,34.1,57.4,108.47,37.2,2025-03-09
Incandescente,75,8.78,Fallando,241,False,33.3,53.8,129.92,30.9,2025-06-02
Halógena,75,9.74,Encendida,111,True,28.7,71.7,110.28,72.2,2025-05-14
Led,150,6.07,Encendida,278,True,24.8,49.1,109.82,43.2,2023-10-08
Incandescente,75,8.71,Encendida,256,False,29.5,45.8,118.91,86.2,2024-09-23
Halógena,50,8.74,Encendida,213,False,29.9,62.1,107.77,54.9,2023-08-19
Halógena,150,7.49,Encendida,135,False,22.9,43.6,107.24,67.9,2025-01-13
Halógena,150,8.78,Apagada,271,True,34.3,56.2,127.19,79.2,2024-04-10
